individual,gender,mode,decision,dwell_time,incentive,congestion,alt,choice_id
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,41
25.0,2.0,MRT,1.0,105.0,7.0,0.0,stay,42
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,42
25.0,2.0,MRT,1.0,120.0,7.0,0.0,stay,43
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,43
25.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,44
25.0,2.0,MRT,0.0,135.0,7.0,0.0,stay,44
26.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,45
26.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,45
27.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,46
27.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,46
29.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,47
29.0,1.0,MRT,0.0,75.0,0.0,0.0,stay,47
29.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,48
29.0,1.0,MRT,0.0,75.0,3.0,0.0,stay,48
29.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,49
29.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,49
29.0,1.0,MRT,1.0,45.0,7.0,0.0,stay,50
29.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,50
29.0,1.0,MRT,1.0,60.0,7.0,0.0,stay,51
29.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,51
29.0,1.0,MRT,1.0,75.0,7.0,0.0,stay,52
29.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,52
29.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,53
29.0,1.0,MRT,0.0,90.0,7.0,0.0,stay,53
31.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,54
31.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,54
32.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,55
32.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,55
33.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,56
33.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,56
34.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,57
34.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,57
35.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,58
35.0,1.0,MRT,0.0,120.0,0.0,0.0,stay,58
35.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,59
35.0,1.0,MRT,0.0,120.0,3.0,0.0,stay,59
35.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,60
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,60
35.0,1.0,MRT,1.0,45.0,7.0,0.0,stay,61
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,61
35.0,1.0,MRT,1.0,60.0,7.0,0.0,stay,62
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,62
35.0,1.0,MRT,1.0,75.0,7.0,0.0,stay,63
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,63
35.0,1.0,MRT,1.0,90.0,7.0,0.0,stay,64
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,64
35.0,1.0,MRT,1.0,105.0,7.0,0.0,stay,65
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,65
35.0,1.0,MRT,1.0,120.0,7.0,0.0,stay,66
35.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,66
35.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,67
35.0,1.0,MRT,0.0,135.0,7.0,0.0,stay,67
36.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,68
36.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,68
37.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,69
37.0,1.0,MRT,0.0,15.0,0.0,0.0,stay,69
37.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,70
37.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,70
