user,gender,DT,WT,incentive,decision,mode
190.0,1.0,0.0,15.0,0.0,0.0,leave
191.0,2.0,60.0,0.0,10.0,1.0,stay
191.0,2.0,0.0,15.0,0.0,0.0,leave
192.0,2.0,60.0,0.0,10.0,1.0,stay
192.0,2.0,0.0,15.0,0.0,0.0,leave
193.0,2.0,0.0,15.0,0.0,1.0,leave
193.0,2.0,60.0,0.0,0.0,0.0,stay
194.0,2.0,0.0,15.0,0.0,1.0,leave
194.0,2.0,60.0,0.0,0.0,0.0,stay
195.0,1.0,60.0,0.0,5.0,1.0,stay
195.0,1.0,0.0,15.0,0.0,0.0,leave
197.0,1.0,0.0,15.0,0.0,1.0,leave
197.0,1.0,60.0,0.0,0.0,0.0,stay
